ENSEMBL,ENTREZID,SYMBOL,DZQV_Plasmablasts,X925L_Plasmablasts,X9JD4_Plasmablasts,G4YW_Plasmablasts,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000169302,202374,STK32A,0.0161397,0.00971456,0,0,0.0633625,0.01867,0.0195688,0.0205865
ENSG00000113657,1809,DPYSL3,0,0,0,0.192758,0,0,0,0
ENSG00000280780,153469,JAKMIP2-AS1,0,0,0.0962548,0,0,0,0.649296,0
ENSG00000176049,9832,JAKMIP2,0.114726901,0.038367302,0.029111104,0.142004104,0.9855361,1.795765,2.6223596,2.565449
ENSG00000164266,6690,SPINK1,0,0.122688,0,0.0922075,0,0.26195,0.141705,0.481131
ENSG00000164265,117156,SCGB3A2,1.828603,0.219305,0.217314,2.42246,11.209254,11.814936,8.87943,9.540502
ENSG00000178776,389336,C5orf46,0,0,0,0,0,0,0,0
ENSG00000133710,11005,SPINK5,0,0,0,0,0,0,0,0
ENSG00000196800,408187,SPINK14,0,0,0,0,0,0,0,0
ENSG00000178172,404203,SPINK6,0,0,0,0,0,0,0,0
ENSG00000248109,105378220,MARCOL,0,0,0,0,0,0,0,0
ENSG00000214510,153218,SPINK13,0,0,0,0,0,0.335349,0,0
ENSG00000247199,102546294,LOC102546294,0.229306,0.110949,0.214471,0.0618852,0.361481,0.585145,1.11702,0.766787
ENSG00000145879,84651,SPINK7,0,0,0,0,0,0,0,0
ENSG00000204909,643394,SPINK9,0.713266,0.755232,1.17421,0.945069,2.02144,7.74536,5.29919,7.3449
ENSG00000145868,81545,FBXO38,18.012277,10.97843503,19.037856,22.31729105,47.692271,65.889635,74.3611316,73.24149319
ENSG00000164270,3360,HTR4,1.614245,0,1.4816,1.528514427,0,0,0,0
ENSG00000169252,154,ADRB2,1.33773,1.66551,1.84372,0.627365,10.2958,7.00351,12.098,9.59653
ENSG00000169247,79628,SH3TC2,0.02002088,0.0636898,0.0371616,0.06127446,0.1202067,0.0834992,0.323716,0.201198
ENSG00000207714,693169,MIR584,0,0,0,0,0,0,0,0
ENSG00000250072,255187,SH3TC2-DT,0,0,0,0,0,0.364218,0.371389,0
ENSG00000173210,22885,ABLIM3,0,0,0,0.182784,1.422832,0.708389,0.476297,0
