ENSEMBL,ENTREZID,SYMBOL,DZQV_CD8_naive,X925L_CD8_naive,X9JD4_CD8_naive,G4YW_CD8_naive,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000196476,140680,C20orf96,8.47953,5.63679,5.89177,9.08645,9.36967,3.5253,5.96116,4.83623
ENSG00000247315,85364,ZCCHC3,2.1958,1.88703,1.87979,2.51017,1.91468,1.59888,2.81282,3.37661
ENSG00000225377,100507459,NRSN2-AS1,1.42279,0,0.771904,0.358458,2.050942,0.722905,0.935749,1.01166
ENSG00000177732,6666,SOX12,0.949364,0.473069,0.4534,1.09595,0.0247285,0,0.471614,0.215788
ENSG00000125841,80023,NRSN2,2.885081333,0,5.517537,0.667992,2.54406,3.32724689,4.594238132,3.4733334
ENSG00000101255,57761,TRIB3,4.234407,3.21788,6.245467,3.573365,2.644646,9.847934,9.725885,8.79299
ENSG00000125826,10616,RBCK1,31.50895001,60.662493,68.222696,59.762353,73.58016701,68.904929,75.673704,86.80037113
ENSG00000125875,128637,TBC1D20,6.538774,11.115297,9.47825,9.91749,5.925381,7.868267,7.916414,8.170314
ENSG00000101266,1457,CSNK2A1,55.89587,43.44728,44.44801,59.610383,60.89454,61.473584,54.40069,48.522236
ENSG00000125878,6939,TCF15,0,0,0,0,0,0,0,0
ENSG00000271303,140809,SRXN1,0,0.912939,1.31567,0.0382372,0.30821,2.33395,2.55842,2.3078
ENSG00000215397,85508,SCRT2,0,0,0,0,0,0,0,0
ENSG00000101276,113278,SLC52A3,1.13141,4.05261,0.943112,1.478693,0,3.43001,3.34066,1.3063
ENSG00000125898,83541,FAM110A,0.91620325,14.589939,30.76368507,19.822927,6.325410706,8.7220403,21.6207227,23.8554717
ENSG00000101280,51378,ANGPT4,0.221093,0.323034,0.285522,0.304545,0.272028,0.374885,0.529816,0.165164
ENSG00000101282,343637,RSPO4,0,0,0.169151,0,0,0,0,0
ENSG00000125818,9491,PSMF1,161.986073,111.157112,135.2808286,115.500993,229.353327,85.017867,167.44572,161.17481
ENSG00000125895,55321,TMEM74B,1.253331,0.232325,0.141005,0.1897883,0.0723758,0,0.4048174,0
ENSG00000215595,400831,C20orf202,0,0,0,0,0,0,0,0
ENSG00000244588,642636,RAD21L1,0,0,0,0,0,0,0,0
ENSG00000101298,9751,SNPH,11.365886,24.7381,7.33947,5.73548,0.707924,1.08934,0,0.0221403
ENSG00000125775,27111,SDCBP2,2.455519,0.677708,1.596415,2.019448,0.168354,0.8650515,0.952173,1.561286
ENSG00000234684,100507495,SDCBP2-AS1,21.92524,14.883852,15.890419,24.29459,16.025484,14.201206,12.039301,16.548751
ENSG00000088832,2280,FKBP1A,333.61281,195.096614,239.304929,278.217961,333.23713,149.792257,217.87894,236.582621
ENSG00000284436,102465524,MIR6869,0,0,0,0,0,0,0,0
ENSG00000088833,55968,NSFL1C,87.117517,50.946565,79.35215,71.10562,95.398273,64.13455,92.623291,85.158449
ENSG00000196209,284759,SIRPB2,0.0681953,0.322187,0.10435,0.300335,14.101512,2.3571,1.67594,11.792434
